Protocol,Config,Fold,Macro-F1,Fake-F1,Real-F1
speaker_disjoint,LR_text_only,0,0.5903513954332181,0.47703842549203374,0.7036643653744026
speaker_disjoint,LR_text_metadata,0,0.5860512742718447,0.46116504854368934,0.7109375
speaker_disjoint,NB_text_metadata,0,0.5994049084049649,0.471350274040857,0.7274595427690727
speaker_disjoint,LR_text_metadata_chi3000,0,0.5949660567506005,0.4915794264906691,0.698352687010532
speaker_disjoint,LR_text_only,1,0.5754738737366365,0.4815983175604627,0.6693494299128102
speaker_disjoint,LR_text_metadata,1,0.597145983609202,0.48315248429468877,0.7111394829237153
speaker_disjoint,NB_text_metadata,1,0.6051381456663942,0.5141032464076637,0.6961730449251248
speaker_disjoint,LR_text_metadata_chi3000,1,0.6125310305297044,0.5377980720446474,0.6872639890147614
speaker_disjoint,LR_text_only,2,0.5764110802614653,0.49794238683127573,0.6548797736916548
speaker_disjoint,LR_text_metadata,2,0.5967692169045051,0.5462386200287495,0.6472998137802607
speaker_disjoint,NB_text_metadata,2,0.5996157781093853,0.5697463768115942,0.6294851794071763
speaker_disjoint,LR_text_metadata_chi3000,2,0.597916070308026,0.5899957246686618,0.60583641594739
speaker_disjoint,LR_text_only,3,0.5911875264885791,0.5033185840707964,0.6790564689063617
speaker_disjoint,LR_text_metadata,3,0.6017365252850286,0.5204582651391162,0.6830147854309412
speaker_disjoint,NB_text_metadata,3,0.60618226354344,0.5492385786802031,0.6631259484066768
speaker_disjoint,LR_text_metadata_chi3000,3,0.6227574824925286,0.5919621749408983,0.653552790044159
speaker_disjoint,LR_text_only,4,0.5743710862684904,0.49175824175824173,0.6569839307787392
speaker_disjoint,LR_text_metadata,4,0.5853868814314982,0.5240363793850151,0.6467373834779814
speaker_disjoint,NB_text_metadata,4,0.5978309141995313,0.5595432300163132,0.6361185983827493
speaker_disjoint,LR_text_metadata_chi3000,4,0.6143633662696255,0.6176362971094036,0.6110904354298474
matched_random,LR_text_only,0,0.5837563886344375,0.4864864864864865,0.6810262907823883
matched_random,LR_text_metadata,0,0.6009613369157187,0.5228377065111759,0.6790849673202615
matched_random,NB_text_metadata,0,0.6187333118524365,0.5606270170585523,0.6768396066463208
matched_random,LR_text_metadata_chi3000,0,0.610750757345171,0.5696810834425513,0.6518204312477908
matched_random,LR_text_only,1,0.6047956759982769,0.5187406296851574,0.6908507223113964
matched_random,LR_text_metadata,1,0.6280352443943227,0.5562015503875969,0.6998689384010485
matched_random,NB_text_metadata,1,0.638722514885976,0.5827937095282146,0.6946513202437373
matched_random,LR_text_metadata_chi3000,1,0.6501392460436961,0.6171773845489857,0.6831011075384066
matched_random,LR_text_only,2,0.5956839060151933,0.5111220958971824,0.6802457161332041
matched_random,LR_text_metadata,2,0.6149956247116287,0.5385365853658537,0.6914546640574037
matched_random,NB_text_metadata,2,0.6259981014782421,0.5683918669131238,0.6836043360433605
matched_random,LR_text_metadata_chi3000,2,0.6325782047551647,0.5989672977624785,0.666189111747851
matched_random,LR_text_only,3,0.5878066204713714,0.49950248756218907,0.6761107533805538
matched_random,LR_text_metadata,3,0.6283773301798021,0.5554474708171206,0.7013071895424836
matched_random,NB_text_metadata,3,0.6202037287625921,0.5611111111111111,0.6792963464140731
matched_random,LR_text_metadata_chi3000,3,0.6264301273381008,0.5931330472103005,0.659727207465901
matched_random,LR_text_only,4,0.5998710115247352,0.512743628185907,0.6869983948635634
matched_random,LR_text_metadata,4,0.610751778775152,0.527363184079602,0.6941403734707019
matched_random,NB_text_metadata,4,0.631889249176784,0.5711610486891385,0.6926174496644295
matched_random,LR_text_metadata_chi3000,4,0.6291511742754434,0.5937770095073466,0.6645253390435403
party_shift,LR_text_only__train_dem_test_rep,0,0.39975561128887854,0.13825461370034406,0.661256608877413
party_shift,LR_text_metadata__train_dem_test_rep,0,0.48832726249629976,0.3418253771951521,0.6348291477974475
party_shift,NB_text_metadata__train_dem_test_rep,0,0.47408750531851596,0.3162673392181589,0.631907671418873
party_shift,LR_text_metadata_chi3000__train_dem_test_rep,0,0.5408119613033207,0.5148737137511693,0.566750208855472
party_shift,LR_text_only__train_rep_test_dem,0,0.546753345443688,0.4389470345702506,0.6545596563171255
party_shift,LR_text_metadata__train_rep_test_dem,0,0.5172399460811662,0.4261025029797378,0.6083773891825945
party_shift,NB_text_metadata__train_rep_test_dem,0,0.528798459230569,0.4367677981375789,0.6208291203235592
party_shift,LR_text_metadata_chi3000__train_rep_test_dem,0,0.5311637689065996,0.42984890533456677,0.6324786324786325
subject_disjoint,LR_text_only,0,0.5846336320506063,0.5142857142857142,0.6549815498154982
subject_disjoint,LR_text_metadata,0,0.5900530320005976,0.5343320848938826,0.6457739791073125
subject_disjoint,NB_text_metadata,0,0.6131562797711241,0.5872832369942197,0.6390293225480284
subject_disjoint,LR_text_metadata_chi3000,0,0.6122372196932165,0.5875576036866359,0.6369168356997972
subject_disjoint,LR_text_only,1,0.5853968410383468,0.48184019370460046,0.688953488372093
subject_disjoint,LR_text_metadata,1,0.5831062670299727,0.444141689373297,0.7220708446866485
subject_disjoint,NB_text_metadata,1,0.5850751920372174,0.4641025641025641,0.7060478199718706
subject_disjoint,LR_text_metadata_chi3000,1,0.5923796322290849,0.49278846153846156,0.691970802919708
subject_disjoint,LR_text_only,2,0.587069422972665,0.4930191972076789,0.681119648737651
subject_disjoint,LR_text_metadata,2,0.6095728645508851,0.5294616362865621,0.6896840928152083
subject_disjoint,NB_text_metadata,2,0.6227434635451308,0.5473684210526316,0.6981185060376299
subject_disjoint,LR_text_metadata_chi3000,2,0.6267658930954381,0.5822494261667942,0.6712823600240819
subject_disjoint,LR_text_only,3,0.5827640852244461,0.4995904995904996,0.6659376708583926
subject_disjoint,LR_text_metadata,3,0.5984263579772275,0.5412844036697247,0.6555683122847302
subject_disjoint,NB_text_metadata,3,0.6113606849378204,0.5750452079566004,0.6476761619190404
subject_disjoint,LR_text_metadata_chi3000,3,0.6078387554479434,0.5822518414591371,0.6334256694367497
subject_disjoint,LR_text_only,4,0.5787562201495337,0.4844089920232052,0.6731034482758621
subject_disjoint,LR_text_metadata,4,0.6139879709842396,0.5481682496607869,0.6798076923076923
subject_disjoint,NB_text_metadata,4,0.6060517978456331,0.5612698412698413,0.650833754421425
subject_disjoint,LR_text_metadata_chi3000,4,0.6069880158665064,0.5724861196792104,0.6414899120538023
